,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
312,"Bagus sih tapi kenapa tiap hari senin sampe hari jumat ada notif tugas ya? Tolong di perbaiki,itu sangat mengganggu saya",5,POSITIVE,,,,,,,,312,"Bagus sih tapi kenapa tiap hari senin sampe hari jumat ada notif tugas ya? Tolong di perbaiki,itu sangat mengganggu saya",5,POSITIVE
313,"Aku tidak menyukai aplikasi ini,guruku semakin banyak memberi tugas aku sangat setres dan pusing sampai timbangan ku turun 5 kilo, kembalikan berat badan ku!!!!",1,NEGATIVE,,,,,,,,313,"Aku tidak menyukai aplikasi ini,guruku semakin banyak memberi tugas aku sangat setres dan pusing sampai timbangan ku turun 5 kilo, kembalikan berat badan ku!!!!",1,NEGATIVE
314,"Aplikasinya bagus bngt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boonk aplikasi nya nge lag banget sat, mana tuggas nya banyak lagi",1,NEGATIVE,,,,,,,,314,"Aplikasinya bagus bngt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boonk aplikasi nya nge lag banget sat, mana tuggas nya banyak lagi",1,NEGATIVE
315,"Banyak bug nya.. Ketika saya disuruh buat tugas ngetik tiba tiba terclose, alhasil ngulang dari awal padahal udh banyak banget ngetiknya mana pakai keyboard hp lagi.. Jadi saya kasih bintang satu karna kesel dan untuk meluapkan amarah saya Sekian~",1,NEGATIVE,,,,,,,,315,"Banyak bug nya.. Ketika saya disuruh buat tugas ngetik tiba tiba terclose, alhasil ngulang dari awal padahal udh banyak banget ngetiknya mana pakai keyboard hp lagi.. Jadi saya kasih bintang satu karna kesel dan untuk meluapkan amarah saya Sekian~",1,NEGATIVE
316,"kenapa tidak bisa membuka link baik itu chrome maupun youtube, selalu ada tulisan aktifkan dan suruh download padahal chrome sudah ada di handphone",1,NEGATIVE,,,,,,,,316,"kenapa tidak bisa membuka link baik itu chrome maupun youtube, selalu ada tulisan aktifkan dan suruh download padahal chrome sudah ada di handphone",1,NEGATIVE
317,Apk sangat membantu sekali!!! Tolong untuk para guru&dosen kalau bisa kirim tugas-tugas tiap hari.,5,POSITIVE,,,,,,,,317,Apk sangat membantu sekali!!! Tolong untuk para guru&dosen kalau bisa kirim tugas-tugas tiap hari.,5,POSITIVE
318,Aplikasi banyak bug. Ketika saya sedang tidur banyak notifikasi tugas dan saya males tolong di perbaiki agar tidak merugikan,1,NEGATIVE,,,,,,,,318,Aplikasi banyak bug. Ketika saya sedang tidur banyak notifikasi tugas dan saya males tolong di perbaiki agar tidak merugikan,1,NEGATIVE
319,"Aplikasi belajar bagus, Kadang agak error sih tapi ttp sukak kok, Bwt kalian yg lagi belajar semangat yaaa semoga cita2 kalian tercapai🤗 Tysm Classroom / google kelas💅🙏 Semangat kalian yaaaa sekolah nyaa💘🙏",5,POSITIVE,,,,,,,,319,"Aplikasi belajar bagus, Kadang agak error sih tapi ttp sukak kok, Bwt kalian yg lagi belajar semangat yaaa semoga cita2 kalian tercapai🤗 Tysm Classroom / google kelas💅🙏 Semangat kalian yaaaa sekolah nyaa💘🙏",5,POSITIVE
320,Gua benci tugas !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!serius,1,NEGATIVE,,,,,,,,320,Gua benci tugas !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!serius,1,NEGATIVE
321,"Tolong Google perbaiki bug ini, Saya dapat masuk ke kelas akan tetapi saya bukan amggota, meskipun pengajar melihat saya adalah anggota, akan tetapi saya tetap bukan anggota, Dampaknya saya tidak bisa masuk Quizizz karena mengharuskan untuk menjadi anggota pada classroom, TOLONG GOOGLE PERBAIKI BUG INI !",1,NEGATIVE,,,,,,,,321,"Tolong Google perbaiki bug ini, Saya dapat masuk ke kelas akan tetapi saya bukan amggota, meskipun pengajar melihat saya adalah anggota, akan tetapi saya tetap bukan anggota, Dampaknya saya tidak bisa masuk Quizizz karena mengharuskan untuk menjadi anggota pada classroom, TOLONG GOOGLE PERBAIKI BUG INI !",1,NEGATIVE
322,"Untuk kalian yg gak naik kelas, jangan nyalahin apk nya njirr.Mikir napa knp kalian gk naik kelas ya karena ulah kalian sendiri,males ngerjain tugas, gak ikut pts,pas.Trus kalian pada mau naik kelas gitu kalo ulah kalian sendiri kayak gitu?Kasihan apk nya njir gk salah apa apa tpi di salahin.Trus yg bilang keterangan ""terlambat mengerjakan tugas"" di ilangin,gk mikir apa kalian.Yg bikin kalian telat ngumpulin tugae ya kalian sendiri.kenapa gak pas tugas baru di upload ,gk klian kerjakan langsung?",5,POSITIVE,,,,,,,,322,"Untuk kalian yg gak naik kelas, jangan nyalahin apk nya njirr.Mikir napa knp kalian gk naik kelas ya karena ulah kalian sendiri,males ngerjain tugas, gak ikut pts,pas.Trus kalian pada mau naik kelas gitu kalo ulah kalian sendiri kayak gitu?Kasihan apk nya njir gk salah apa apa tpi di salahin.Trus yg bilang keterangan ""terlambat mengerjakan tugas"" di ilangin,gk mikir apa kalian.Yg bikin kalian telat ngumpulin tugae ya kalian sendiri.kenapa gak pas tugas baru di upload ,gk klian kerjakan langsung?",5,POSITIVE
323,"Aplikasi yang sangat membantu bagi pelajar sekolah apalagi di saat pamdemi ini, karna adanya aplikasi ini tugas sekolah menumpuk spam mapel dan itu sangat membagongkan membuat saya stres, terimakasih bpk ibu guru ketahuilah pelajar pandemi ini sangat stre slalu dikasih tugas menumpuk tapi tidak mengerti semua mapel karna anda tidak pernah menjelaskan tentang tugas yang anda berikan, sekian terimakasih ❤",5,POSITIVE,,,,,,,,323,"Aplikasi yang sangat membantu bagi pelajar sekolah apalagi di saat pamdemi ini, karna adanya aplikasi ini tugas sekolah menumpuk spam mapel dan itu sangat membagongkan membuat saya stres, terimakasih bpk ibu guru ketahuilah pelajar pandemi ini sangat stre slalu dikasih tugas menumpuk tapi tidak mengerti semua mapel karna anda tidak pernah menjelaskan tentang tugas yang anda berikan, sekian terimakasih ❤",5,POSITIVE
324,Lemot kalo kirim tugas,1,NEGATIVE,,,,,,,,324,Lemot kalo kirim tugas,1,NEGATIVE
325,"Setiap saya ingin mengupload tugas selalu lama ke upload nya mlh kadang kalau video tdk kekirim,dan ada beberapa file yg tdk bisa dibuka padahal sinyal hp saya stabil,saya juga nyoba memakai wifi tapi sama saja. Kalau sudah diperbaiki saya tambah bintangnya",2,NEGATIVE,,,,,,,,325,"Setiap saya ingin mengupload tugas selalu lama ke upload nya mlh kadang kalau video tdk kekirim,dan ada beberapa file yg tdk bisa dibuka padahal sinyal hp saya stabil,saya juga nyoba memakai wifi tapi sama saja. Kalau sudah diperbaiki saya tambah bintangnya",2,NEGATIVE
326,Saya tidak suka dengan aplikasi ini karegaeagara gara aplikasi saya ada banyak tugas dalam sehariini,2,NEGATIVE,,,,,,,,326,Saya tidak suka dengan aplikasi ini karegaeagara gara aplikasi saya ada banyak tugas dalam sehariini,2,NEGATIVE
327,jan di download nyesel anj apk haram,1,NEGATIVE,,,,,,,,327,jan di download nyesel anj apk haram,1,NEGATIVE
328,"Mau ngirim tugas video lama bet ampe berkali kali gagal, udah nunggu cape cape beberapa menit, eh gagal. Gak bisa kirim tugas, kita yang disalahin sama guru. Padahal udah kita kirim, tapi error pas kita kirim😑",1,NEGATIVE,,,,,,,,328,"Mau ngirim tugas video lama bet ampe berkali kali gagal, udah nunggu cape cape beberapa menit, eh gagal. Gak bisa kirim tugas, kita yang disalahin sama guru. Padahal udah kita kirim, tapi error pas kita kirim😑",1,NEGATIVE
329,"Terkadang tidak bisa mengirimkan tugas lewat foto/gmbr harus lewat link gmbrnya, sebenarnya itu bug atau memang dari gurunya ya? Tlng untuk diperbaiki lagi, jika tidak ada apk ini mungkin tugasnya juga tidak ada wkwkwk...",4,POSITIVE,,,,,,,,329,"Terkadang tidak bisa mengirimkan tugas lewat foto/gmbr harus lewat link gmbrnya, sebenarnya itu bug atau memang dari gurunya ya? Tlng untuk diperbaiki lagi, jika tidak ada apk ini mungkin tugasnya juga tidak ada wkwkwk...",4,POSITIVE
330,Tugasnya gk ngotak babi,1,NEGATIVE,,,,,,,,330,Tugasnya gk ngotak babi,1,NEGATIVE
331,"Lah bukannnya di update jadi tambah bagus ehh malah jadi parah tampilan di bagian tugas,jadi tidak bisa tampil semua ,yah tolong lah bisa di tampilkan semua tanpa harus di klik klik ,jaditerlalu merepotkan kalo mau lihat tugas Minggu lalu dg Minggu sekarang ,jadi tidak bisa di lihat semua,tolong lah,mending yg di bagian ""daftar tugas"" dikembalikan ke versi awal lah,jadi agak ribet versi yg sekarang mah_-",2,NEGATIVE,,,,,,,,331,"Lah bukannnya di update jadi tambah bagus ehh malah jadi parah tampilan di bagian tugas,jadi tidak bisa tampil semua ,yah tolong lah bisa di tampilkan semua tanpa harus di klik klik ,jaditerlalu merepotkan kalo mau lihat tugas Minggu lalu dg Minggu sekarang ,jadi tidak bisa di lihat semua,tolong lah,mending yg di bagian ""daftar tugas"" dikembalikan ke versi awal lah,jadi agak ribet versi yg sekarang mah_-",2,NEGATIVE
332,"Lumayan bagus, entah karena alasan apa aplikasi mu menyedot 2,3gb kuota saya dalam 1 jam, dan tolong di perbaiki, ketika mau kirim video, video nya gak muncul muncul",2,NEGATIVE,,,,,,,,332,"Lumayan bagus, entah karena alasan apa aplikasi mu menyedot 2,3gb kuota saya dalam 1 jam, dan tolong di perbaiki, ketika mau kirim video, video nya gak muncul muncul",2,NEGATIVE
333,"Bug ini Sangat meresahkan, setiap kali saya mencoba tidur ada notif dari apk ini yang membuat saya stres dan menulis tugas yang tidak penting, kalau bug ini dilanjutkan otak saya akan melenceng, mohon segera di fix bug nya",1,NEGATIVE,,,,,,,,333,"Bug ini Sangat meresahkan, setiap kali saya mencoba tidur ada notif dari apk ini yang membuat saya stres dan menulis tugas yang tidak penting, kalau bug ini dilanjutkan otak saya akan melenceng, mohon segera di fix bug nya",1,NEGATIVE
334,"Terimakasih, sudah membuat aplikasi yang sangat membantu untuk mengirim tugas saat Daring seperti ini. Yang bilang apknya bikin stres, klean punya masalah apa sih? Jangan lebay dah semua jg punya tugas banyak bukan lo doang ya, kalo banyak tugas ya komplen ke guru klen jangan di apk ini! Ngga menghargai developer banget.",5,POSITIVE,,,,,,,,334,"Terimakasih, sudah membuat aplikasi yang sangat membantu untuk mengirim tugas saat Daring seperti ini. Yang bilang apknya bikin stres, klean punya masalah apa sih? Jangan lebay dah semua jg punya tugas banyak bukan lo doang ya, kalo banyak tugas ya komplen ke guru klen jangan di apk ini! Ngga menghargai developer banget.",5,POSITIVE
335,Dasar aplikasi babi!sering gagal menyerahkan jadinya saya sering dihukum dan tidak mendapatkan nilai.Dasar owner yg careless!tidak memperdulikan hal hal seperti ini dan menganggap itu adlh hal kecil pantes yg rate 1 lebih banyak daripada rate 5 trus bintang 3 lagi parah sih ini aplikasi gk guna bnget!dasar aplikasi sesat!!,1,NEGATIVE,,,,,,,,335,Dasar aplikasi babi!sering gagal menyerahkan jadinya saya sering dihukum dan tidak mendapatkan nilai.Dasar owner yg careless!tidak memperdulikan hal hal seperti ini dan menganggap itu adlh hal kecil pantes yg rate 1 lebih banyak daripada rate 5 trus bintang 3 lagi parah sih ini aplikasi gk guna bnget!dasar aplikasi sesat!!,1,NEGATIVE
336,aplikasinya meresahkan😔👊🙏🏻,1,NEGATIVE,,,,,,,,336,aplikasinya meresahkan😔👊🙏🏻,1,NEGATIVE
337,Gk suka tugas,1,NEGATIVE,,,,,,,,337,Gk suka tugas,1,NEGATIVE
338,"Apk nya bermasalah banget, banyak bug, tiap hari Senin - Jumat suka ada Notip gajelas, tong lah hapus bug ini",1,NEGATIVE,,,,,,,,338,"Apk nya bermasalah banget, banyak bug, tiap hari Senin - Jumat suka ada Notip gajelas, tong lah hapus bug ini",1,NEGATIVE
339,Tidak bisa ausk,1,NEGATIVE,,,,,,,,339,Tidak bisa ausk,1,NEGATIVE
340,Woy Napa muat ulang gblk,1,NEGATIVE,,,,,,,,340,Woy Napa muat ulang gblk,1,NEGATIVE
341,"Aplikasiny bagus cuma maaf kadang agak error tgl tugas dikumpul, perasaan gw ngumpul cepet lah di situ di buat terlambat kadang gitu kadang nggak.",4,POSITIVE,,,,,,,,341,"Aplikasiny bagus cuma maaf kadang agak error tgl tugas dikumpul, perasaan gw ngumpul cepet lah di situ di buat terlambat kadang gitu kadang nggak.",4,POSITIVE
342,"bagusss banget! TP GUE KESEL SAMA YG NGASI ULASAN 'bagusss bangeeettt!!!!!!!! tp boong hayukkk' trus ada yg marah² ke sini gegara dikasi banyak tugas????? DIMANAAA OTAK LU ANJIR?? yg ngasih tugas kan guru lu, kok malah marah² ke developer nya? keliatan bego nya kan kalo gitu. kasian rating ni apk jadi keliatan jelek woi, sumpah dah gregetan bgt gue sama orang yg kek gitu. oke, sekian. terimakasiiii gugell uUuUuuU 🤩❤️❤️❤️",5,POSITIVE,,,,,,,,342,"bagusss banget! TP GUE KESEL SAMA YG NGASI ULASAN 'bagusss bangeeettt!!!!!!!! tp boong hayukkk' trus ada yg marah² ke sini gegara dikasi banyak tugas????? DIMANAAA OTAK LU ANJIR?? yg ngasih tugas kan guru lu, kok malah marah² ke developer nya? keliatan bego nya kan kalo gitu. kasian rating ni apk jadi keliatan jelek woi, sumpah dah gregetan bgt gue sama orang yg kek gitu. oke, sekian. terimakasiiii gugell uUuUuuU 🤩❤️❤️❤️",5,POSITIVE
343,Semuanya udah bagus cuman apk nya masih banyak bug nya masak lagi adem adem tiba tiba muncul notifikasi tugas malah banyak banget lagi tolong google perbaikin bugnya demi kenyaman kita bersama :),1,NEGATIVE,,,,,,,,343,Semuanya udah bagus cuman apk nya masih banyak bug nya masak lagi adem adem tiba tiba muncul notifikasi tugas malah banyak banget lagi tolong google perbaikin bugnya demi kenyaman kita bersama :),1,NEGATIVE
344,"Aplikasi google classroom ini menurut saya udah bagus, cuma aneh banget sih sama orang yang ngasih ranting 1, ini kan emang aplikasih untuk GURU MEMBERIKAN tugas, ya kalo gak mau dapet tugas yaudah jangan masuk ke kelas yang dikasih sama guru kalian, terus yang bilang jadi banyak tugas semenjak nginstal aplikasi ini ya DI KERJAIN dong biar abis tugasnya",5,POSITIVE,,,,,,,,344,"Aplikasi google classroom ini menurut saya udah bagus, cuma aneh banget sih sama orang yang ngasih ranting 1, ini kan emang aplikasih untuk GURU MEMBERIKAN tugas, ya kalo gak mau dapet tugas yaudah jangan masuk ke kelas yang dikasih sama guru kalian, terus yang bilang jadi banyak tugas semenjak nginstal aplikasi ini ya DI KERJAIN dong biar abis tugasnya",5,POSITIVE
345,"google classroom sangat membantu untuk guru agar memberikan tugas pada murid di masa pandemi,saya adalah siswi dan yah saya cukup terbantu dengan ada nya ini tapi tolong perbaiki beberapa sistem di google classroom contoh nya seperti tidak lemot saat mengirim tugas dn dkk,oh iya sya juga mau tanya ini gimana cara nya ganti bahasa google classroom ke bahasa Indonesia?saya agak stress kalo bahasa pakai bahasa Inggris.",4,POSITIVE,,,,,,,,345,"google classroom sangat membantu untuk guru agar memberikan tugas pada murid di masa pandemi,saya adalah siswi dan yah saya cukup terbantu dengan ada nya ini tapi tolong perbaiki beberapa sistem di google classroom contoh nya seperti tidak lemot saat mengirim tugas dn dkk,oh iya sya juga mau tanya ini gimana cara nya ganti bahasa google classroom ke bahasa Indonesia?saya agak stress kalo bahasa pakai bahasa Inggris.",4,POSITIVE
346,Aplikasi ini bagus banget jadi saya bisa belajar dengan nyaman karena sekolah nya daring pun gpplah yg penting enak bisa rebahan sambil makan sambil ngerjain tuga sambil tiduran pokok nya apk ini ngebantu banget deh dalam pelajaran sekolah......... Hanya anak bangsa(d) yg kasih bintang 1,5,POSITIVE,,,,,,,,346,Aplikasi ini bagus banget jadi saya bisa belajar dengan nyaman karena sekolah nya daring pun gpplah yg penting enak bisa rebahan sambil makan sambil ngerjain tuga sambil tiduran pokok nya apk ini ngebantu banget deh dalam pelajaran sekolah......... Hanya anak bangsa(d) yg kasih bintang 1,5,POSITIVE
347,"Kok apk punya saya sering terjadi bug ya? Dari tombol serahkan dan kolom komentar yang jadi satu, tugas-tugas atau daftar hadir yang baru keluar jika sudah melewati tenggat waktu. Tolong untuk diperbaiki karena saya sering kena tegur sama guru",5,POSITIVE,,,,,,,,347,"Kok apk punya saya sering terjadi bug ya? Dari tombol serahkan dan kolom komentar yang jadi satu, tugas-tugas atau daftar hadir yang baru keluar jika sudah melewati tenggat waktu. Tolong untuk diperbaiki karena saya sering kena tegur sama guru",5,POSITIVE
348,Apk nya banyak banget bug soalnya sering ada notifikasi yg sangat berisik ga guna bug nya tolong perbaikan oh ya tolong apk ini blokir aja ganggu anjj,1,NEGATIVE,,,,,,,,348,Apk nya banyak banget bug soalnya sering ada notifikasi yg sangat berisik ga guna bug nya tolong perbaikan oh ya tolong apk ini blokir aja ganggu anjj,1,NEGATIVE
349,Error terus gajelas,1,NEGATIVE,,,,,,,,349,Error terus gajelas,1,NEGATIVE
350,"bug apa ini kalo mau bukak link youtube/link gform pasti di suruh aktifkan atau download aplikasi, padahal udah download, tolong di perbaiki",1,NEGATIVE,,,,,,,,350,"bug apa ini kalo mau bukak link youtube/link gform pasti di suruh aktifkan atau download aplikasi, padahal udah download, tolong di perbaiki",1,NEGATIVE
351,"Tugas gak bisa terkirim, selalu ada notif maaf tugas tidak terkirim coba lagi nanti. Dah coba berulang""Tetap sama, tolong solusinya dong!!!!!!!",1,NEGATIVE,,,,,,,,351,"Tugas gak bisa terkirim, selalu ada notif maaf tugas tidak terkirim coba lagi nanti. Dah coba berulang""Tetap sama, tolong solusinya dong!!!!!!!",1,NEGATIVE
352,Saya tidak mendapatkan tugas dari pengajar. Padahal pengajar sudah mengirim tugas. Biasanya tugas dikirim melalui Google classroom dan juga Gmail. Beruntung saya punya Gmail. Kalau tidak maka akan tertinggal. Tolong perbaiki..,2,NEGATIVE,,,,,,,,352,Saya tidak mendapatkan tugas dari pengajar. Padahal pengajar sudah mengirim tugas. Biasanya tugas dikirim melalui Google classroom dan juga Gmail. Beruntung saya punya Gmail. Kalau tidak maka akan tertinggal. Tolong perbaiki..,2,NEGATIVE
353,Yaudah gitu lah,1,NEGATIVE,,,,,,,,353,Yaudah gitu lah,1,NEGATIVE
354,Tugas nya banyak ajg,1,NEGATIVE,,,,,,,,354,Tugas nya banyak ajg,1,NEGATIVE
355,"Aplikasi sudah lumayan bagus, hanya saja ketika saya upload tugas berbentuk pdf tidak bisa di upload, padahal ukuran file nya kecil. Sudah beberapa setiap upload tugas berbentuk pdf tidak bisa di upload, mohon diperbaiki segera",2,NEGATIVE,,,,,,,,355,"Aplikasi sudah lumayan bagus, hanya saja ketika saya upload tugas berbentuk pdf tidak bisa di upload, padahal ukuran file nya kecil. Sudah beberapa setiap upload tugas berbentuk pdf tidak bisa di upload, mohon diperbaiki segera",2,NEGATIVE
356,APK INI SAYA KASI BINTANG 5!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!TAPI BOONG YAHAH HAYYUK PAL PALE PAL PALE,1,NEGATIVE,,,,,,,,356,APK INI SAYA KASI BINTANG 5!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!TAPI BOONG YAHAH HAYYUK PAL PALE PAL PALE,1,NEGATIVE
357,"Notifikasi selalu tidak tepat,,,, guru kirim soal jam 07.45 tapi bru ada notifnya jam 9.00 WIB klo kek gini terus saya jadi tdk bisa mengikuti kegiatan online dri sklh karna notif yg telat. Bahkan pernah seharian tdk ads notifnya pdhl guru tdk mengumumkan adanya libur tapi notifnya tdk msk ke hp sy, pas sy cek di setelan hp udh bener ga ada kesalahan tp knp selalu notif itu datangnya telat?? Mohon diperbaiki lagi ya",1,NEGATIVE,,,,,,,,357,"Notifikasi selalu tidak tepat,,,, guru kirim soal jam 07.45 tapi bru ada notifnya jam 9.00 WIB klo kek gini terus saya jadi tdk bisa mengikuti kegiatan online dri sklh karna notif yg telat. Bahkan pernah seharian tdk ads notifnya pdhl guru tdk mengumumkan adanya libur tapi notifnya tdk msk ke hp sy, pas sy cek di setelan hp udh bener ga ada kesalahan tp knp selalu notif itu datangnya telat?? Mohon diperbaiki lagi ya",1,NEGATIVE
358,Bagus nih classroom 😁 top bangett,5,POSITIVE,,,,,,,,358,Bagus nih classroom 😁 top bangett,5,POSITIVE
359,Saya sangat kecewa karena aplikasi ini masih banyak Bug Tiba tiba muncul notifikasi tugas dan sangat mengganggu bagi penggunanya,1,NEGATIVE,,,,,,,,359,Saya sangat kecewa karena aplikasi ini masih banyak Bug Tiba tiba muncul notifikasi tugas dan sangat mengganggu bagi penggunanya,1,NEGATIVE
360,"Bagus aplikasi ini, tapi tiba tiba ada notifikasi tugas. Gimana sih cara menghilangkan aplikasi ini?",1,NEGATIVE,,,,,,,,360,"Bagus aplikasi ini, tapi tiba tiba ada notifikasi tugas. Gimana sih cara menghilangkan aplikasi ini?",1,NEGATIVE
361,Gajelas banyak bug,1,NEGATIVE,,,,,,,,361,Gajelas banyak bug,1,NEGATIVE
362,Tolong lah pliss hps apk ini dari indo biar ngk sekolah online trs!! Apk ini membuat orang bodoh.saya enak² tidur malah ada notif.fiks apk pengangu!!,1,NEGATIVE,,,,,,,,362,Tolong lah pliss hps apk ini dari indo biar ngk sekolah online trs!! Apk ini membuat orang bodoh.saya enak² tidur malah ada notif.fiks apk pengangu!!,1,NEGATIVE
363,"Ada bagian yang kurang nyaman menurut ku Saat mau edit jawaban setelah lewat deadline itu tulisannya ""terlambat"" Padahal kumpulinnya tepat waktu hanya saja mau edit ulang eh dilihat guru jadi nilainya dikurangi. Mohon saat di edit itu tetap deadline serahinnya makasih.",4,POSITIVE,,,,,,,,363,"Ada bagian yang kurang nyaman menurut ku Saat mau edit jawaban setelah lewat deadline itu tulisannya ""terlambat"" Padahal kumpulinnya tepat waktu hanya saja mau edit ulang eh dilihat guru jadi nilainya dikurangi. Mohon saat di edit itu tetap deadline serahinnya makasih.",4,POSITIVE
364,jgn spam tugas konz,1,NEGATIVE,,,,,,,,364,jgn spam tugas konz,1,NEGATIVE
365,"GAK JELAS GC NYA, GAK AUTO SEND",1,NEGATIVE,,,,,,,,365,"GAK JELAS GC NYA, GAK AUTO SEND",1,NEGATIVE
366,"Assalamualaikum, saya Rani. Aplikasinya sangat berguna untuk belajar, tapi kenapa saat saya kelas 2 SMP (saat ini), semua kelasku di classroom hilang? Padahal saya sudah update, dan beli kuota. Mohon bantuannya ya 🙏🏻",4,POSITIVE,,,,,,,,366,"Assalamualaikum, saya Rani. Aplikasinya sangat berguna untuk belajar, tapi kenapa saat saya kelas 2 SMP (saat ini), semua kelasku di classroom hilang? Padahal saya sudah update, dan beli kuota. Mohon bantuannya ya 🙏🏻",4,POSITIVE
367,Yo Ndak tau,5,POSITIVE,,,,,,,,367,Yo Ndak tau,5,POSITIVE
368,"Bro kasih aja bintang 5 knp,buat apk tu ga mudah,nama juga lagi coba2 mereka,kalo ada bug ya itu pasti ada dalam semua apk,ga mungkin buat apk langsung bagus ga ada masalah,kalo ada yg kena masalah jangan ke rating tapi aduin ke clstumer service nya",5,POSITIVE,,,,,,,,368,"Bro kasih aja bintang 5 knp,buat apk tu ga mudah,nama juga lagi coba2 mereka,kalo ada bug ya itu pasti ada dalam semua apk,ga mungkin buat apk langsung bagus ga ada masalah,kalo ada yg kena masalah jangan ke rating tapi aduin ke clstumer service nya",5,POSITIVE
369,"Apk ini sangat burukk!! Watashi sedang asik nonton animek tiba"" datang notif dan memberi tugas segaban ini bukan pelajaran tp menyiksa murid bukannya paham yg ada otak pusing dhlh",1,NEGATIVE,,,,,,,,369,"Apk ini sangat burukk!! Watashi sedang asik nonton animek tiba"" datang notif dan memberi tugas segaban ini bukan pelajaran tp menyiksa murid bukannya paham yg ada otak pusing dhlh",1,NEGATIVE
370,Mantapanjing update nye,5,POSITIVE,,,,,,,,370,Mantapanjing update nye,5,POSITIVE
371,"INI APLIKASI APASI!!!!, KENAPA TUGAS DAN MATERINYA GA KELUAR PADAHAL SAYA PUNYA KUOTA INTERNET TETAPI SERING MUNCUL TULISAN ""MAAF TERJADI MASALAH SILAHKAN COBA LAGI NANTI"" MAAF MAAF APA SI GAJELAS, PADAHAL BARU ISI KUOTA TOLONG YA DI JELASIN DAN DI PERBAIKI!!!!! Tadinya ga mau kasi bintang tapi ya udah lah.",1,NEGATIVE,,,,,,,,371,"INI APLIKASI APASI!!!!, KENAPA TUGAS DAN MATERINYA GA KELUAR PADAHAL SAYA PUNYA KUOTA INTERNET TETAPI SERING MUNCUL TULISAN ""MAAF TERJADI MASALAH SILAHKAN COBA LAGI NANTI"" MAAF MAAF APA SI GAJELAS, PADAHAL BARU ISI KUOTA TOLONG YA DI JELASIN DAN DI PERBAIKI!!!!! Tadinya ga mau kasi bintang tapi ya udah lah.",1,NEGATIVE
372,"makasih udah membantu untuk belajar dari PSBB-PPKM, dengan senang hati saya mengucapkan salam perpisahan babay GC.",1,NEGATIVE,,,,,,,,372,"makasih udah membantu untuk belajar dari PSBB-PPKM, dengan senang hati saya mengucapkan salam perpisahan babay GC.",1,NEGATIVE
